No,Kota,PGA,Ss,S1,TL
310,Panarukan,0.31,0.66,0.30,20.00
311,Panataran,0.43,0.94,0.44,20.00
312,Panceng,0.29,0.59,0.26,20.00
313,Pandaan,0.34,0.73,0.34,20.00
314,Pandanan,0.44,1.00,0.47,20.00
315,Pandeglang,0.48,1.01,0.48,20.00
316,Pangandaran,0.49,1.07,0.49,20.00
317,Pare,0.38,0.82,0.39,20.00
318,Parengan,0.30,0.65,0.30,20.00
319,Pasuruan,0.33,0.70,0.34,20.00
320,Pekalogan,0.27,0.60,0.30,20.00
321,Pekanbaru,0.18,0.38,0.30,20.00
322,Pelabuhanratu,0.60,1.50,0.60,20.00
323,Pelalawan,0.13,0.26,0.24,20.00
324,Pemalang,0.28,0.61,0.30,20.00
325,Pematangsiantar,0.34,0.74,0.39,20.00
326,Plumpang,0.30,0.63,0.28,20.00
327,Ponorogo,0.43,0.94,0.44,20.00
328,Pontianak,0.09,0.18,0.05,null
329,Popoh,0.51,1.15,0.52,20.00
330,Prambanan,0.55,1.33,0.56,6.00
331,Prapat,0.41,0.95,0.48,20.00
332,Prigen,0.35,0.75,0.36,20.00
333,Probolinggo,0.32,0.69,0.33,20.00
334,Puncak,0.49,1.07,0.48,20.00
335,Purwakarta,0.40,0.90,0.41,20.00
336,Rambipuji,0.41,0.89,0.40,20.00
337,Ranau,0.69,1.75,0.71,12.00
338,Randuagung,0.39,0.84,0.39,20.00
339,Randudongkal,0.31,0.69,0.34,20.00
340,Rembang,0.23,0.49,0.24,4.00
341,Rengasdengklok,0.33,0.70,0.34,20.00
342,Riau,0.04,0.08,0.12,12.00
343,Rogojampi,0.42,0.92,0.39,20.00
344,Sabang,0.62,1.56,0.63,12.00
345,Salatiga,0.41,0.95,0.42,6.00
346,Samarinda,0.06,0.12,0.10,16.00
347,Samosir,0.50,1.16,0.56,12.00
348,Sampang,0.28,0.57,0.27,20.00
349,Sarang,0.25,0.54,0.26,6.00
350,Sarangan,0.38,0.84,0.40,20.00
351,Sedayu_(Jatim),0.29,0.60,0.27,20.00
352,Sedayu_(Yogya),0.45,1.04,0.49,20.00
353,Semarang,0.41,0.91,0.39,6.00
354,Semeru,0.44,0.96,0.44,20.00
355,Serang,0.42,0.89,0.44,20.00
356,Sibolangit,0.34,0.77,0.41,20.00
357,Sidoarjo,0.35,0.76,0.34,20.00
358,Singapura,0.03,0.08,0.12,12.00
359,Singaraja,0.43,1.01,0.41,12.00
360,Singkawang,0.02,0.04,0.04,12.00
361,Singosari,0.38,0.82,0.39,20.00
362,Situbondo,0.32,0.68,0.30,20.00
363,Sleman,0.43,1.00,0.46,20.00
364,Solo,0.36,0.82,0.40,20.00
365,Sorong,0.62,1.60,0.65,8.00
366,Sragen,0.34,0.78,0.37,20.00
367,Subang,0.38,0.85,0.38,20.00
368,Sugihwaras,0.39,0.86,0.34,20.00
369,Sukabumi,0.56,1.33,0.57,8.00
370,Sukorejo,0.32,0.72,0.34,20.00
371,Sumba,0.48,1.10,0.43,8.00
372,Sumbawabesar,0.49,1.10,0.45,12.00
373,Sumbermanjing,0.50,1.11,0.50,20.00
374,Sumedang,0.43,0.98,0.43,6.00
375,Sumenep,0.34,0.75,0.34,12.00
376,Surabaya,0.32,0.68,0.30,20.00
377,Surakarta,0.35,0.80,0.39,20.00
378,Tabanan,0.43,0.95,0.39,20.00
379,Tj._Aru,0.07,0.14,0.08,12.00
380,Tj._Awarawar,0.28,0.57,0.25,20.00
381,Tj._Losari,0.30,0.67,0.31,20.00
382,Trawas,0.35,0.76,0.36,20.00
383,Trenggalek,0.47,1.03,0.47,20.00
384,Tretes,0.35,0.76,0.36,20.00
385,Trinil,0.39,0.89,0.38,20.00
386,Trowulan,0.37,0.83,0.36,20.00
387,Tuban,0.30,0.62,0.27,20.00
388,Tulungagung,0.46,1.01,0.46,20.00
389,Tulungselapan,0.12,0.24,0.21,20.00
390,Tumpang,0.41,0.89,0.41,20.00
391,Ujung_Indramayu,0.23,0.48,0.26,20.00
392,Ujung_Indrapura,0.60,1.50,0.60,20.00
393,Ujung_Kodok,0.29,0.59,0.25,20.00
394,Ujung_Krawang,0.23,0.46,0.26,20.00
395,Ujung_Kulon,0.60,1.50,0.60,20.00
396,Ujungpandang,0.11,0.22,0.11,16.00
397,Ungaran,0.38,0.88,0.38,20.00
398,Viqueque,0.37,0.81,0.32,12.00
399,Wajak,0.48,1.06,0.48,20.00
400,Wamena,0.55,1.31,0.50,8.00
401,Waru,0.55,1.30,0.47,8.00
402,Wates_(Jatim),0.41,0.89,0.42,20.00
403,Wates_(Yogya),0.46,1.05,0.49,20.00
404,Widodaren,0.35,0.79,0.36,20.00
405,Winongan,0.33,0.71,0.34,20.00
406,Wirosasi,0.33,0.75,0.34,20.00
407,Wlingi,0.44,0.96,0.45,20.00
408,Wonocoyo,0.53,1.19,0.53,20.00
409,Wonogiri,0.43,0.95,0.45,20.00
410,Wonokromo,0.33,0.71,0.31,20.00
411,Wonosari,0.53,1.20,0.54,20.00
412,Wonosobo,0.32,0.71,0.37,20.00
413,Yogyakarta,0.49,1.11,0.51,6.00
414,Yosowilangun,0.43,0.94,0.43,20.00
